collection_id,title,alternative1,alternative2,creator,contributor,contributor,contributor,contributor,contributor,contributor,contributor,contributor,subject,subject,subject,subject,subject,publicsher,date,format,identifier,language,right,description,degree,owner,update_at,created_at
2,Pseudonocardia pini สปีชีล์ใหม่ที่แยกได้จากเนื้อเยื่อรากที่ฟอกฆ่าเชื้อของต้นสนในประเทศออสเตรเลีย,"Pseudonocardia pini sp. nov., an endophytic actinobacterium isolated from the surface-sterilized stem of a native pine tree",,อรอุมา แก้วกล้า,,,,,,,,,เซลล์และเนื้อเยื่อพืช --วิจัย, แบคทีเรีย--การจำแนก--วิจัย,แบคทีเรีย --การจำแนก --วิจัย,สน --วิจัย,เอนโดไฟต์ --วิจัย,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/06/Ornuma_Kaewkla63.pdf,tha,มหาวิทยาลัยมหาสารคาม,,,,จากระบบ,จากระบบ
2,โครงการฐานข้อมูลความหลากหลายทางชีวภาพในชุมชนรุ่นที่ 2,,,อารยะ เสนาคุณ,สันติภาพ เปลี่ยนโชติ,ชฎาพร เสนาคุณ,อิสราภรณ์ สมบุญวัฒนกุล,นิเวส ศรีธัญรัตน์,จีรกาญจน์ เต็มพรสิน,,,,ความหลากหลายทางชีวภาพ --การฝึกอบรม --วิจัย,ความหลากหลายทางชีวภาพ --ฐานข้อมูล --วิจัย,ชีววิทยา --วิจัย,,,สำนักวิทยบริการ มหาวิทยาลัยมหาสารคาม,2553,pdf,http://khoon.msu.ac.th/_dir/fulltext/fulltextman/full4/araya11118/titlepage.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนโครงการบริการวิชาการแก่สังคมจากงบประมาณรายได้ประจำปี 2553 มหาวิทยาลัยมหาสารคาม,,,,
2,องค์ประกอบทางเคมีและคุณสมบัติต้านเชื้อราของสารสกัดใบฝรั่ง (Psidium guajava L.) ต่อต้านเชื้อรา Pythium aphanidermatum เชื้อสาเหตุโรคเน่าคอดินของคะน้า,"Chemical composition and antifungal properties of Guava leaf extract (Psidium guajava L.) against Pythium aphanidermatum, Chinese kale damping-off disease pathogen",,วราภรณ์ สุทธิสา,ณัฎยา ศรีสวัสดิ์,ธวัลรัตน์ ศรีพิมพ์,สุธิรา มณีฉาย,,,,,,เชื้อรา --เทคโนโลยีชีวภาพ --วิจัย,สารต้านเชื้อรา --วิจัย,สารสกัดจากพืช --วิจัย,ฝรั่ง --ใบ --วิจัย,ผักคะน้า --โรคและศัตรูพืช --วิจัย,มหาวิทยาลัยมหาสารคาม,2567,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/02/waraporn_sutthisa2567.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณเงินรายได้ ประจำปีงบประมาณ 2567 มหาวิทยาลัยมหาสารคาม,,,,
2,ปัจจัยคัดสรรที่มีความสัมพันธ์กับพลังสุขภาพจิตของนักศึกษาพยาบาลวิทยาลัยพยาบาลศรีมหาสารคาม,,,ประยูร วงศ์จันทรา,จารุณี อินทฤทธิ์,เนาวรัตน์ สิงห์สนั่น,ควันเทียน วงศ์จันทรา,,,,,,นักศึกษาพยาบาล --สุขภาพจิต --วิจัย,สุขภาพจิต --วิจัย,อารมณ์ --วิจัย,วิทยาลัยพยาบาลศรีมหาสารคาม --นักศึกษา --วิจัย,,มหาวิทยาลัยมหาสารคาม,2564,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/09/Prayoon_Wongchantra.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณเงินรายได้ ประจำปีงบประมาณ 2564 มหาวิทยาลัยมหาสารคาม,,,,
2,การประเมินความคุ้มค่าทางเศรษฐศาสตร์ของงานบริการเภสัชกรรม,Economic evaluation of pharmacy services: a systematic review of the literature (2016-2020),,กฤษณี สระมุณี,พรชนก ศรีมงคล,ภาณุมาศ ภูมาศ,วิระพล ภิมาลย์,สุรัชดา ชนโสภณ,อารีรัตน์ ลีละธนาฤกษ์,"Babar, Zaheer",,,การบริบาลทางเภสัชกรรม --วิจัย,,การวิเคราะห์การลงทุน --วิจัย,บริการทางการแพทย์ --วิจัย,,มหาวิทยาลัยมหาสารคาม,2565,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/03/Kritsanee_Saramunee65.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณรายได้ ประจำปีงบประมาณ 2565 มหาวิทยาลัยมหาสารคาม,,,,
2,การพัฒนาโปรแกรมอบรมระยะสั้นสำหรับนิสิตต่างชาติ,Short training program development for international students,,เฉลิมชน ภูสมศรี,ชลธี โพธิ์ทอง,ปัญจภา สมันจิตร,พรรณวรท เดชชัย,,,,,,การฝึกอบรม --วิจัย,นักศึกษาต่างชาติ--การฝึกอบรม--วิจัย,มหาวิทยาลัยมหาสารคาม --นักศึกษา --การฝึกอบรม --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2560,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/08/panjapha_samanjit60.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัยงบประมาณรายได้ประจำปีงบประมาณ 2560 มหาวิทยาลัยมหาสารคาม,,,,
2,การประเมินคาร์บอนฟุตพริ้นท์ของมหาวิทยาลัยมหาสารคาม,An Assessment of carbon footprint of Mahasarakham University,,จิตติมา ประสาระเอ,คนธรส ขาวเมืองน้อย,สุนันทา เลาวัณย์ศิริ,อารีรัตน์ รักษาศิลป์,เอริกา พฤฒิกิตติ,,,,,ก๊าซเรือนกระจก --วิจัย,คาร์บอนฟุตพริ้นท์ --วิจัย,วัฏจักรคาร์บอน --วิจัย,มหาวิทยาลัยมหาสารคาม --คณะสิ่งแวดล้อมและทรัพยากรศาสตร์ --วิจัย,,มหาวิทยาลัยมหาสารคาม,2549,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/07/jittima_prasarae59.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย งบประมาณแผ่นดิน ประจำปีงบประมาณ 2559 มหาวิทยาลัยมหาสารคาม,,,,
2,คุณธรรม จริยธรรมในการปฏิบัติหน้าที่ของบุคลากรสายสนับสนุนกรณีศึกษา คณะวิทยาศาสตร์และวิศวกรรมศาสตร์ มหาวิทยาลัยมหาสารคาม,,,ถวิล ชนะบุญ,เกียรติคุณ เรืองสุวรรณ,จันทรา เนื่องมหา,พรรณี เจริญศิริ,สุกัญญา ครุฑไชยันต์,อมรรัตน์ หลายโคตร,อรุณี กลิ่นผกา,ฉันทลักษณ์ สาชำนาญ,,ความดี --วิจัย,จริยธรรม --วิจัย,มหาวิทยาลัยมหาสารคาม --บุคลากร --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2552,pdf,https://khoon.msu.ac.th/_dir/fulltext/2025/09/Thawin_Chanaboon52.pdf,tha,มหาวิทยาลัยมหาสารคาม,การศึกษานี้เป็นส่วนหนึ่งของโครงการอบรมหลักสูตรการพัฒนาสมรรถนะหลักสูตรของผู้บริหารสายสนับสนุนในมหาวิทยาลัยของรัฐกรณีหัวหน้างาน มหาวิทยาลัยมหาสารคาม ประจำปี 2552 รุ่นที่ 1,,,,
2,พันธุศาสตร์เซลล์ระดับโมเลกุลของตุ๊กแกป่าจารุจินต์ (Cyrtodactylus jarujini) และตุ๊กแกป่าดอยสุเทพ (C. doisuthep) ในประเทศไทย ,"Molecular cytogenetics of cyrtodactylus jarujini and cyrtodactylus doisuthep (squamata, gekkonidae) in Thailand",,วีระ ทองเนตร,อลงกลด แทนออมทอง,อิสสระ ปะทะวัง,กฤษณ์ ปิ่นทอง,ถวิล ชนะบุญ,,,,,คาริโอไทป์ --วิจัย,เซลล์พันธุศาสตร์ --วิจัย,ตุ๊กแก --พันธุศาสตร์ --วิจัย,ไมโครแซทเทลไลท์ (พันธุศาสตร์) --วิจัย,,มหาวิทยาลัยมหาสารคาม,2563,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/07/Weera_Thongnetr63.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัย ประจำปีงบประมาณ 2563 มหาวิทยาลัยมหาสารคาม,,,,
2,อาหารกึ่งสำเร็จรูปสำหรับผู้สูงอายุ,,,วสันต์ ด้วงคำจันทร์,วีณา อิศรางกูร ณ อยุธยา,สุดาทิพย์ อินทร์ชื่น,กษม ชนะวงศ์,ธิดารัตน์ เลิศวิทยากุล,พรพิมล ชูพานิช,ลัดดา พลพุทธา,,,ผู้สูงอายุ --แง่โภชนาการ --วิจัย,ผู้สูงอายุ --สุขภาพและอนามัย --วิจัย,อาหารกึ่งสำเร็จรูป --วิจัย,,,มหาวิทยาลัยมหาสารคาม,2563,pdf,https://khoon.msu.ac.th/_dir/fulltext/2026/04/wasan_Duangkhamchan63.pdf,tha,มหาวิทยาลัยมหาสารคาม,ได้รับการสนับสนุนการวิจัยจากสำนักงานคณะกรรมการการอุดมศึกษา ประจำปีงบประมาณ 2562,,,,
